"IPI Accession"	"IPI Description"	"Main Class"	Classification	"Protein coding"	"Phobius TM"	"Phobius SP"	"Phobius Topology"	"SOSUI TM"	"SOSUI TOPOLOGY"	"TMHMM TM"	"TMHMM Topology"
IPI00103335	"GRIK5 Kainate receptor subunit KA2a"	Transporters	Channels;Ligand_gated_ion_channels;Glutamate	Valid	4	Y	n5-15c27/28o297-318i545-565o623-645i804-828o	3	517-539,597-619,776-798	3	o516-538i596-618o777-796i
IPI00470731	"GRIN1 Isoform 5 of Glutamate [NMDA] receptor subunit zeta-1 precursor"	Transporters	Channels;Ligand_gated_ion_channels;Glutamate	Valid	3	Y	n6-15c20/21o583-601i656-678o834-858i	4	561-583,602-624,634-656,816-837	3	o562-581i636-658o816-838i
IPI00029768	"GRIN2A Glutamate [NMDA] receptor subunit epsilon-1 precursor"	Transporters	Channels;Ligand_gated_ion_channels;Glutamate	Valid	4	Y	n7-18c26/27o557-579i600-617o629-651i820-843o	3	529-551,572-594,608-630	4	o531-553i607-629o721-739i792-811o
IPI00297933	"GRIN2B Glutamate [NMDA] receptor subunit epsilon-2 precursor"	Transporters	Channels;Ligand_gated_ion_channels;Glutamate	Valid	4	Y	n12-23c28/29o558-580i601-618o630-655i821-844o	5	7-29,530-552,570-591,607-629,790-812	4	o530-552i571-593o603-625i793-815o
IPI00215887	"GRIN2C N-methyl-D-aspartate receptor 2C subunit precursor"	Transporters	Channels;Ligand_gated_ion_channels;Glutamate	Valid	5	Y	n4-15c19/20o554-574i595-615o627-652i816-835o855-874i	4	536-558,614-636,795-817,836-858	4	o533-555i576-598o608-630i797-816o
IPI00006217	"GRIN2D Glutamate [NMDA] receptor subunit epsilon-4 precursor"	Transporters	Channels;Ligand_gated_ion_channels;Glutamate	Valid	4	Y	n17-28c46/47o584-607i628-645o657-682i846-865o	4	539-561,579-599,617-639,798-820	4	o540-562i575-597o612-634i800-819o
IPI00478811	"GRIN3A glutamate receptor, ionotropic, N-methyl-D-aspartate 3A"	Transporters	Channels;Ligand_gated_ion_channels;Glutamate	Valid	4	Y	n4-17c26/27o675-695i716-734o746-769i934-956o	4	648-669,686-708,718-740,903-925	4	o649-668i688-707o722-744i908-930o
IPI00297677	"GRIN3B Glutamate [NMDA] receptor subunit 3B precursor"	Transporters	Channels;Ligand_gated_ion_channels;Glutamate	Valid	5	Y	n6-15c20/21o541-559i571-593o613-632i644-669o828-847i	3	553-574,626-648,808-830	4	o555-577i590-608o628-650i808-830o
IPI00410169	"KCNMA1 Isoform 3 of Calcium-activated potassium channel subunit alpha-1"	Transporters	Channels;Voltage_gated_ion_channels;Ca_Activated_Potassium_Channels	Valid	8	0	o86-108i179-197o217-235i242-264o276-293i300-321o336-355i367-385o	7	174-196,212-234,242-264,300-322,336-356,368-390,841-863	6	o86-108i179-198o213-235i300-322o337-356i363-385o
IPI00218812	"KCNN1 Isoform 2 of Small conductance calcium-activated potassium channel protein 1"	Transporters	Channels;Voltage_gated_ion_channels;Ca_Activated_Potassium_Channels	Valid	5	0	i124-143o155-178i295-315o335-352i364-384o	7	125-147,159-181,198-220,240-262,296-318,332-354,363-384	5	i124-141o156-178i294-316o331-350i363-385o
IPI00784232	"KCNN2 92 kDa protein"	Transporters	Channels;Voltage_gated_ion_channels;Ca_Activated_Potassium_Channels	Valid	7	0	i403-420o432-457i483-505o525-548i569-594o614-631i643-663o	7	404-426,437-459,477-499,523-545,575-597,611-633,642-663	7	i403-420o435-457i483-505o525-544i573-595o610-629i642-664o
IPI00032465	"KCNN3 Small-conductance calcium-activated potassium channel SK3"	Transporters	Channels;Voltage_gated_ion_channels;Ca_Activated_Potassium_Channels	Valid	7	0	i289-308o320-343i369-391o411-434i455-480o500-517i529-549o	7	290-312,323-345,367-389,409-431,461-483,497-519,528-549	5	i289-306o321-343i459-481o496-515i528-550o
IPI00032466	"KCNN4 Intermediate conductance calcium-activated potassium channel protein 4"	Transporters	Channels;Voltage_gated_ion_channels;Ca_Activated_Potassium_Channels	Valid	4	0	i25-48o54-79i207-226o262-286i	6	25-47,55-77,104-126,150-172,204-226,265-286	5	i25-47o57-79i207-226o241-263i265-287o
IPI00103430	"KCNT1 Isoform 1 of Potassium channel subfamily T member 1"	Transporters	Channels;Voltage_gated_ion_channels;Ca_Activated_Potassium_Channels	Valid	7	0	i183-202o240-261i273-294o300-316i337-358o364-383i395-420o	6	189-211,243-265,273-295,332-354,361-383,391-413	5	i183-202o243-265i333-355o365-383i390-412o
IPI00398421	"KCNT2 Isoform 1 of Potassium channel subfamily T member 2"	Transporters	Channels;Voltage_gated_ion_channels;Ca_Activated_Potassium_Channels	Valid	7	0	i64-83o103-127i139-159o199-217i229-246o258-281i302-322o	5	65-87,106-128,134-156,197-219,253-275	5	i62-84o104-126i135-157o195-217i257-274o
IPI00643301	"KCNU1 potassium channel, subfamily U, member 1"	Transporters	Channels;Voltage_gated_ion_channels;Ca_Activated_Potassium_Channels	Invalid	6	0	o23-49i100-123o143-160i227-246o266-284i291-309o	6	26-48,96-118,138-160,166-188,224-246,292-314	6	o23-45i101-123o138-160i224-246o261-280i287-309o
IPI00848279	"CACNA1A calcium channel, alpha 1A subunit isoform 2"	Transporters	Channels;Voltage_gated_ion_channels;CalciumChannels	Valid	23	0	i102-119o139-159i171-189o222-245i304-325o337-359i488-507o519-539i551-571o577-594i614-636o690-714i1246-1265o1285-1306i1318-1335o1380-1402i1492-1517o1573-1591i1603-1626o1632-1650i1670-1690o1696-1714i1792-1816o	23	99-120,139-161,170-192,200-222,227-248,296-318,339-361,487-508,518-539,561-583,621-642,690-712,1248-1270,1283-1305,1312-1333,1382-1403,1448-1470,1492-1514,1571-1593,1604-1626,1670-1692,1700-1722,1797-1819	17	i98-117o137-159i223-245o337-359i487-509o519-541i614-636o689-711i1244-1266o1286-1308i1315-1334o1380-1402i1493-1515o1575-1597i1604-1626o1696-1715i1793-1815o
IPI00025477	"CACNA1B Isoform Alpha-1B-1 of Voltage-dependent N-type calcium channel subunit alpha-1B"	Transporters	Channels;Voltage_gated_ion_channels;CalciumChannels	Valid	22	0	o97-114i135-156o168-188i200-217o223-245i300-321o333-355i485-505o511-528i549-567o573-590i610-632o688-710i1152-1170o1190-1210i1222-1240o1283-1305i1395-1420o1476-1494i1506-1532o1599-1617i1686-1709o	25	96-118,136-158,164-186,197-219,225-247,292-314,335-357,484-505,511-533,546-568,605-627,651-673,689-711,1152-1174,1188-1210,1219-1240,1285-1306,1351-1373,1395-1417,1472-1494,1505-1527,1536-1558,1573-1595,1604-1626,1690-1712	21	i96-115o135-157i164-183o223-245i291-313o333-355i483-505o515-537i610-632o688-710i1148-1170o1190-1212i1219-1238o1283-1305i1352-1371o1396-1418i1467-1489o1509-1531i1538-1557o1605-1627i1686-1708o
IPI00216095	"CACNA1C Isoform 2 of Voltage-dependent L-type calcium channel subunit alpha-1C"	Transporters	Channels;Voltage_gated_ion_channels;CalciumChannels	Valid	22	0	i128-145o165-185i197-215o268-290i349-370o382-404i525-542o562-585i654-673o726-753i896-919o931-950i957-979o991-1017i1038-1071o1121-1142i1163-1189o1240-1257i1269-1291o1303-1320i1407-1430o1500-1524i	25	125-146,164-186,195-217,242-264,272-294,350-372,384-406,520-542,585-607,610-632,646-668,730-752,895-917,928-950,954-976,983-1005,1045-1067,1122-1144,1164-1186,1240-1262,1272-1294,1302-1324,1331-1353,1412-1434,1503-1525	21	i125-147o162-184i193-212o268-290i350-372o382-404i524-543o563-585i651-673o723-745i896-918o931-953i958-980o995-1017i1049-1071o1165-1187i1232-1254o1269-1291i1303-1320o1407-1426i1501-1523o
IPI00216354	"CACNA1D Isoform Beta-cell-type of Voltage-dependent L-type calcium channel subunit alpha-1D"	Transporters	Channels;Voltage_gated_ion_channels;CalciumChannels	Valid	19	0	i130-147o167-187i199-218o271-294i350-371o383-405i543-561o581-604i673-692o745-772i907-925o945-965i977-1003o1023-1053i1150-1175o1229-1247i1259-1279o1369-1387i1461-1484o	21	127-148,166-188,197-219,245-267,275-297,351-373,385-407,541-562,578-600,619-641,665-687,710-732,748-770,907-929,981-1003,1030-1052,1108-1130,1151-1173,1223-1244,1372-1394,1463-1485	19	i130-149o164-186i199-218o272-294i351-373o383-405i539-561o581-603i670-692o746-768i902-924o944-966i973-992o1035-1057i1151-1173o1218-1240i1260-1279o1369-1388i1461-1483o
IPI00472283	"CACNA1E Isoform 1 of Voltage-dependent R-type calcium channel subunit alpha-1E"	Transporters	Channels;Voltage_gated_ion_channels;CalciumChannels	Valid	23	0	i93-110o130-150i162-180o221-243i295-316o328-350i477-497o503-521i542-560o566-583i603-625o680-703i1152-1171o1191-1212i1224-1243o1289-1311i1401-1426o1482-1500i1512-1535o1541-1559i1580-1600o1606-1624i1699-1723o	22	90-111,130-152,159-180,195-217,224-246,287-309,331-353,476-497,506-528,541-563,595-617,682-704,1154-1176,1221-1243,1286-1308,1353-1375,1402-1424,1477-1498,1513-1535,1580-1602,1609-1631,1702-1724	19	i90-109o129-151i158-180o221-243i296-318o328-350i476-498o503-525i603-625o681-703i1149-1171o1222-1244i1289-1311o1402-1424i1471-1493o1513-1535i1542-1559o1606-1625i1700-1722o
IPI00465135	"CACNA1F calcium channel, voltage-dependent, L type, alpha 1F subunit"	Transporters	Channels;Voltage_gated_ion_channels;CalciumChannels	Valid	20	0	i96-113o133-152i164-180o237-260i316-337o349-371i530-548o563-581i659-678o728-750i872-890o910-930i942-968o988-1017i1072-1093o1113-1140i1191-1212o1224-1243i1326-1344o1417-1441i	24	92-113,133-155,162-184,211-233,241-263,317-339,347-369,528-549,562-584,604-626,651-673,717-739,745-766,872-894,907-929,944-966,996-1018,1076-1098,1116-1138,1189-1210,1221-1243,1254-1276,1326-1348,1420-1442	19	i96-115o130-152i161-180o238-260i317-339o349-371i525-547o567-589i656-678o728-750i867-889o909-931i943-965o1000-1022i1116-1138o1183-1205i1225-1244o1326-1345i1418-1440o
IPI00299037	"CACNA1G Isoform 5 of Voltage-dependent T-type calcium channel subunit alpha-1G"	Transporters	Channels;Voltage_gated_ion_channels;CalciumChannels	Valid	22	0	o82-101i122-142o214-237i342-363o369-394i744-762o774-795i807-823o865-884i905-921o941-964i1277-1295o1315-1336i1348-1367o1412-1434i1514-1537o1612-1633i1645-1668o1680-1701i1722-1740o1746-1765i1829-1851o	23	82-104,122-143,149-171,205-227,342-364,374-396,742-763,776-798,805-827,868-890,905-927,943-965,1276-1297,1312-1334,1353-1375,1414-1435,1471-1493,1515-1537,1612-1634,1644-1666,1674-1696,1745-1767,1826-1848	17	i123-142o208-230i340-362o372-394i744-762o777-799i865-887o942-964i1278-1295o1315-1337i1344-1366o1412-1434i1514-1536o1602-1624i1645-1667o1743-1765i1829-1851o
IPI00028915	"CACNA1H Isoform 1 of Voltage-dependent T-type calcium channel subunit alpha-1H"	Transporters	Channels;Voltage_gated_ion_channels;CalciumChannels	Valid	23	0	o101-120i141-161o233-256i366-387o393-418i794-812o824-845i857-876o915-937i957-972o992-1015i1295-1313o1333-1353i1365-1386o1430-1452i1489-1511o1531-1555i1617-1634o1654-1673i1725-1746o1752-1772i1784-1804o1839-1860i	24	68-86,100-122,140-162,224-246,365-387,398-420,792-813,826-848,855-877,919-941,956-978,994-1016,1295-1316,1330-1352,1372-1394,1432-1453,1489-1511,1533-1555,1618-1639,1652-1673,1680-1702,1706-1728,1752-1774,1835-1857	15	i141-163o234-256i364-386o396-418i915-937o990-1012i1333-1355o1370-1392i1430-1452o1533-1555i1614-1636o1651-1673i1752-1774o1789-1807i1828-1850o
IPI00382665	"CACNA1I Uncharacterized protein CACNA1I"	Transporters	Channels;Voltage_gated_ion_channels;CalciumChannels	Valid	22	0	o79-99i120-140o208-232i345-366o372-397i647-665o677-703i710-729o768-790i810-826o846-868i1177-1195o1215-1236i1248-1274o1312-1334i1375-1393o1413-1437i1493-1510o1530-1549i1601-1622o1628-1647i1714-1736o	22	79-101,120-141,203-225,336-358,377-399,646-668,679-701,708-730,771-793,809-831,847-869,1171-1193,1253-1275,1312-1334,1373-1395,1415-1437,1493-1514,1528-1549,1556-1578,1582-1604,1628-1650,1711-1733	20	o78-100i121-140o213-235i343-365o375-397i680-702o717-739i768-790o812-834i846-868o1173-1195i1215-1237o1252-1274i1312-1334o1415-1437i1490-1512o1527-1549i1625-1647o1670-1689i1710-1732o
IPI00299240	"CACNA1S Voltage-dependent L-type calcium channel subunit alpha-1S"	Transporters	Channels;Voltage_gated_ion_channels;CalciumChannels	Valid	20	0	i55-72o92-112i124-145o196-218i278-299o311-333i433-450o470-488i562-581o634-661i795-817o837-858i870-896o916-946i1042-1068o1122-1140i1152-1170o1182-1199i1266-1284o1357-1381i	22	51-72,90-112,123-145,170-192,198-219,279-301,313-335,432-452,508-530,552-574,603-625,638-660,800-822,862-884,924-946,1001-1023,1044-1066,1117-1138,1151-1173,1191-1213,1272-1294,1363-1385	19	i52-74o89-111i123-145o196-218i279-301o311-333i433-451o466-488i559-581o631-653i795-817o837-859i871-893o925-947i1044-1066o1111-1133i1153-1172o1263-1285i1358-1380o
IPI00302313	"CATSPER1 Cation channel sperm-associated protein 1"	Transporters	Channels;Voltage_gated_ion_channels;catSper-Two-P	Valid	7	0	o447-466i478-504o516-538i559-577o583-604i616-637o643-671i	6	449-471,485-507,511-532,583-605,613-633,646-668	5	o443-465i486-508o583-605i612-629o644-666i
IPI00893759	CATSPER2	Transporters	Channels;Voltage_gated_ion_channels;catSper-Two-P	Invalid	7	0	o119-138i150-169o189-212i224-243o249-269i289-307o327-347i	7	110-132,149-171,194-216,241-263,291-313,326-348	6	i119-138o153-175i182-204o247-269i282-301o321-343i
IPI00256795	"CATSPER3 Cation channel sperm-associated protein 3"	Transporters	Channels;Voltage_gated_ion_channels;catSper-Two-P	Valid	6	0	i54-73o79-100i112-131o174-198i210-226o246-268i	5	46-68,111-133,172-194,212-233,247-269	5	i51-73o114-131i177-199o209-226i247-269o
IPI00398709	"CATSPER4 Isoform 1 of Cation channel sperm-associated protein 4"	Transporters	Channels;Voltage_gated_ion_channels;catSper-Two-P	Valid	7	0	o93-111i131-152o158-178i190-208o214-240i247-264o284-306i	7	92-113,127-149,154-176,187-209,215-237,245-267,284-306	6	i93-112o127-149i156-173o218-240i247-264o284-306i
IPI00164366	"TPCN1 102 kDa protein"	Transporters	Channels;Voltage_gated_ion_channels;catSper-Two-P	Valid	12	0	i179-201o207-228i249-267o307-326i333-352o372-395i517-537o549-567i579-598o604-621i642-666o738-763i	11	179-201,207-229,246-268,301-323,334-356,370-392,518-540,548-570,591-613,643-665,741-763	12	i180-202o207-229i250-267o304-326i333-355o370-392i515-537o547-569i576-598o642-664i706-725o740-762i
IPI00169371	"TPCN2 Two pore calcium channel protein 2"	Transporters	Channels;Voltage_gated_ion_channels;catSper-Two-P	Valid	11	0	i81-99o156-179i219-239o287-312i436-455o467-486i507-526o546-569i581-601o639-662i674-694o	13	82-104,122-144,159-181,218-239,288-310,436-458,469-491,502-524,532-554,557-579,585-607,633-655,673-695	11	i77-99o157-179i217-239o289-311i436-455o468-490i503-525o554-576i583-605o640-659i672-694o
IPI00218428	"CNGA1 Similar to Cyclic nucleotide gated channel alpha 1"	Transporters	Channels;Voltage_gated_ion_channels;cycliNucleotideRegulatedChannels	Valid	2	0	i372-391o444-466i	5	24-46,237-259,265-287,370-392,443-465	2	i369-391o444-466i
IPI00399234	"CNGA2 Cyclic nucleotide-gated olfactory channel"	Transporters	Channels;Voltage_gated_ion_channels;cycliNucleotideRegulatedChannels	Valid	4	0	i140-160o172-192i278-296o350-372i	4	135-157,177-199,270-292,351-373	4	i140-162o172-194i275-297o350-372i
IPI00442261	"CNGA3 CDNA FLJ16265 fis, clone IMR322013396, highly similar to Homo sapiens cone photoreceptor cGMP-gated channel alpha subunit (CNGA3) mRNA"	Transporters	Channels;Voltage_gated_ion_channels;cycliNucleotideRegulatedChannels	Valid	4	0	i171-191o203-224i310-328o382-404i	2	307-329,383-405	2	i307-329o382-404i
IPI00216905	"CNGA4 cyclic nucleotide gated channel alpha 4"	Transporters	Channels;Voltage_gated_ion_channels;cycliNucleotideRegulatedChannels	Valid	4	0	o34-54i172-194o214-232i244-265o	3	37-59,171-193,244-266	3	o33-52i174-196o248-270i
IPI00297656	"CNGB1 cyclic nucleotide gated channel beta 1"	Transporters	Channels;Voltage_gated_ion_channels;cycliNucleotideRegulatedChannels	Valid	2	0	o654-674i742-761o	1	646-667	0	o
IPI00746960	"CNGB3 Isoform 1 of Cyclic nucleotide-gated cation channel beta 3"	Transporters	Channels;Voltage_gated_ion_channels;cycliNucleotideRegulatedChannels	Valid	4	0	i217-238o250-269i353-374o420-438i	0	0	4	o220-242i249-271o304-323i353-375o
IPI00031506	"HCN1 Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1"	Transporters	Channels;Voltage_gated_ion_channels;cycliNucleotideRegulatedChannels	Valid	6	0	i143-167o173-191i221-239o251-269i289-308o372-397i	5	142-164,175-196,219-241,290-312,372-394	2	o145-167i373-395o
IPI00218946	"HCN2 Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2"	Transporters	Channels;Voltage_gated_ion_channels;cycliNucleotideRegulatedChannels	Valid	7	0	i212-236o242-261i290-308o320-338i358-377o413-431i443-466o	5	214-236,243-265,289-311,359-381,443-465	2	o214-236i442-464o
IPI00163724	"HCN3 Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3"	Transporters	Channels;Voltage_gated_ion_channels;cycliNucleotideRegulatedChannels	Valid	6	0	i94-118o124-143i172-192o204-222i242-261o325-350i	2	243-265,326-348	1	i94-116o
IPI00023164	"HCN4 Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4"	Transporters	Channels;Voltage_gated_ion_channels;cycliNucleotideRegulatedChannels	Valid	7	0	i263-287o293-312i341-359o371-389i409-428o465-482i494-517o	5	265-286,294-316,340-362,410-432,493-515	2	o265-287i493-515o
IPI00007612	"KCNJ1 Isoform 1 of ATP-sensitive inward rectifier potassium channel 1"	Transporters	Channels;Voltage_gated_ion_channels;InwardlyRectifyingKchannel	Valid	2	0	i83-105o156-180i	1	154-176	2	i83-105o157-179i
IPI00020273	"KCNJ10 ATP-sensitive inward rectifier potassium channel 10"	Transporters	Channels;Voltage_gated_ion_channels;InwardlyRectifyingKchannel	Valid	2	0	i68-89o142-167i	2	71-93,141-163	2	i68-90o144-166i
IPI00291902	"KCNJ11 ATP-sensitive inward rectifier potassium channel 11"	Transporters	Channels;Voltage_gated_ion_channels;InwardlyRectifyingKchannel	Valid	2	0	i72-93o144-168i	2	75-97,147-169	2	i72-94o146-168i
IPI00450699	"KCNJ12 ATP-sensitive inward rectifier potassium channel 12"	Transporters	Channels;Voltage_gated_ion_channels;InwardlyRectifyingKchannel	Valid	2	0	i82-106o157-182i	2	82-104,160-182	3	i84-106o126-148i155-177o
IPI00000058	"KCNJ13 Inward rectifier potassium channel 13"	Transporters	Channels;Voltage_gated_ion_channels;InwardlyRectifyingKchannel	Valid	2	0	i55-78o134-158i	2	58-80,136-158	2	i57-79o135-157i
IPI00002524	"KCNJ14 ATP-sensitive inward rectifier potassium channel 14"	Transporters	Channels;Voltage_gated_ion_channels;InwardlyRectifyingKchannel	Valid	3	0	o86-112i124-142o162-186i	2	92-114,163-185	3	i91-113o128-150i163-185o
IPI00064771	"KCNJ15 ATP-sensitive inward rectifier potassium channel 15"	Transporters	Channels;Voltage_gated_ion_channels;InwardlyRectifyingKchannel	Valid	2	0	i67-88o142-166i	2	40-61,69-91	2	i67-89o143-165i
IPI00014915	"KCNJ16 Inward rectifier potassium channel 16"	Transporters	Channels;Voltage_gated_ion_channels;InwardlyRectifyingKchannel	Valid	2	0	i109-131o180-205i	2	110-132,178-200	2	i109-131o182-204i
IPI00007614	"KCNJ2 Inward rectifier potassium channel 2"	Transporters	Channels;Voltage_gated_ion_channels;InwardlyRectifyingKchannel	Valid	2	0	i83-107o156-181i	3	68-90,94-116,153-175	2	i85-107o157-179i
IPI00010176	"KCNJ3 G protein-activated inward rectifier potassium channel 1"	Transporters	Channels;Voltage_gated_ion_channels;InwardlyRectifyingKchannel	Valid	2	0	i84-105o159-182i	3	85-107,117-139,159-181	3	i84-106o116-138i159-181o
IPI00007626	"KCNJ4 Inward rectifier potassium channel 4"	Transporters	Channels;Voltage_gated_ion_channels;InwardlyRectifyingKchannel	Valid	2	0	i57-83o148-173i	3	62-84,113-135,145-167	3	i59-81o120-142i149-171o
IPI00298865	"KCNJ5 G protein-activated inward rectifier potassium channel 4"	Transporters	Channels;Voltage_gated_ion_channels;InwardlyRectifyingKchannel	Valid	2	0	i90-111o165-188i	2	92-114,166-188	2	i90-112o165-187i
IPI00007627	"KCNJ6 G protein-activated inward rectifier potassium channel 2"	Transporters	Channels;Voltage_gated_ion_channels;InwardlyRectifyingKchannel	Valid	3	0	o93-117i129-147o167-191i	3	94-116,126-148,169-191	2	i93-115o168-190i
IPI00020003	"KCNJ8 ATP-sensitive inward rectifier potassium channel 8"	Transporters	Channels;Voltage_gated_ion_channels;InwardlyRectifyingKchannel	Valid	2	0	i73-94o154-178i	2	76-98,156-178	2	i73-95o156-178i
IPI00294849	"KCNJ9 G protein-activated inward rectifier potassium channel 3"	Transporters	Channels;Voltage_gated_ion_channels;InwardlyRectifyingKchannel	Valid	2	0	i61-82o136-159i	3	62-84,94-116,137-159	3	i59-81o96-115i136-158o
IPI00744166	"- Potassium voltage-gated channel subfamily D member 2"	Transporters	Channels;Voltage_gated_ion_channels;Potassium_channels	Valid	7	0	i183-204o224-245i257-279o285-303i324-345o357-373i385-406o	7	4-25,185-207,226-248,257-279,321-343,353-375,386-408	6	o182-204i225-247o257-279i325-344o354-373i385-407o
IPI00883851	"KCNA1 potassium voltage-gated channel subfamily A member 1"	Transporters	Channels;Voltage_gated_ion_channels;Potassium_channels	Valid	6	0	i168-189o221-242i249-267o287-305i326-347o387-408i	6	167-189,217-239,251-273,323-345,362-384,387-409	4	i168-190o221-243i326-348o387-409i
IPI00023658	"KCNA10 Potassium voltage-gated channel subfamily A member 10"	Transporters	Channels;Voltage_gated_ion_channels;Potassium_channels	Valid	6	0	i217-238o271-292i299-317o337-354i375-396o436-457i	5	215-237,268-290,303-325,372-394,438-460	4	i217-239o271-293i375-397o436-458i
IPI00028134	"KCNA2 Potassium voltage-gated channel subfamily A member 2"	Transporters	Channels;Voltage_gated_ion_channels;Potassium_channels	Valid	6	0	i164-188o222-243i250-268o288-307i328-349o389-410i	5	163-185,220-242,252-274,325-347,390-412	5	o160-182i222-244o248-270i328-350o389-411i
IPI00217447	"KCNA3 potassium voltage-gated channel, shaker-related subfamily, member 3"	Transporters	Channels;Voltage_gated_ion_channels;Potassium_channels	Valid	6	0	i236-256o295-315i327-345o357-377i398-419o459-480i	5	234-256,295-317,327-349,395-417,459-481	5	o231-253i294-316o326-348i398-420o459-481i
IPI00304582	"KCNA4 Potassium voltage-gated channel subfamily A member 4"	Transporters	Channels;Voltage_gated_ion_channels;Potassium_channels	Valid	7	0	o308-326i338-359o371-392i399-417o437-457i478-499o539-560i	6	307-329,371-393,402-424,475-497,507-528,539-561	4	i308-330o371-393i478-500o539-561i
IPI00304594	"KCNA5 Potassium voltage-gated channel subfamily A member 5"	Transporters	Channels;Voltage_gated_ion_channels;Potassium_channels	Valid	6	0	i251-272o324-344i356-373o393-413i434-455o495-516i	5	249-271,319-341,355-377,431-453,495-517	3	o247-269i434-456o495-517i
IPI00015931	"KCNA6 Potassium voltage-gated channel subfamily A member 6"	Transporters	Channels;Voltage_gated_ion_channels;Potassium_channels	Valid	6	0	i176-196o263-283i295-315o335-355i376-397o437-458i	6	175-197,260-282,294-316,373-395,413-435,438-460	4	i175-197o263-285i376-398o437-459i
IPI00170531	"KCNA7 Potassium voltage-gated channel subfamily A member 7"	Transporters	Channels;Voltage_gated_ion_channels;Potassium_channels	Valid	6	0	i144-165o209-229i241-259o271-291i312-333o373-394i	6	135-157,209-231,240-262,309-331,341-363,373-395	5	i144-166o209-231i312-334o349-371i373-395o
IPI00033019	"KCNB1 Potassium voltage-gated channel subfamily B member 1"	Transporters	Channels;Voltage_gated_ion_channels;Potassium_channels	Valid	6	0	i186-208o228-249i261-279o331-351i363-380o392-416i	6	186-208,226-248,259-281,330-351,365-387,392-414	5	i190-212o227-249i331-353o368-385i392-414o
IPI00024330	"KCNB2 Potassium voltage-gated channel subfamily B member 2"	Transporters	Channels;Voltage_gated_ion_channels;Potassium_channels	Valid	7	0	i190-212o232-253i265-284o296-315i335-356o368-385i397-417o	6	191-213,230-252,263-285,335-357,368-390,396-418	5	i194-216o231-253i335-357o372-389i396-418o
IPI00879694	"KCNC1 Shaw-related voltage-gated potassium channel protein 1 isoform A"	Transporters	Channels;Voltage_gated_ion_channels;Potassium_channels	Valid	6	0	i188-207o244-266i273-291o345-366i387-404o416-445i	5	189-211,243-265,273-295,338-360,420-442	6	o188-210i243-265o280-299i345-367o387-404i411-433o
IPI00221367	"KCNC2 Isoform 1 of Potassium voltage-gated channel subfamily C member 2"	Transporters	Channels;Voltage_gated_ion_channels;Potassium_channels	Valid	6	0	i227-246o281-303i310-328o382-403i424-441o453-482i	5	226-248,282-304,310-332,375-397,457-479	6	i230-248o281-303i310-332o381-403i424-441o451-473i
IPI00289965	"KCNC3 Potassium voltage-gated channel subfamily C member 3"	Transporters	Channels;Voltage_gated_ion_channels;Potassium_channels	Valid	4	0	o291-309i448-469o489-506i518-539o	6	288-310,348-370,378-400,446-468,487-508,523-545	4	o289-311i448-470o490-507i514-536o
IPI00306756	"KCNC4 Isoform 1 of Potassium voltage-gated channel subfamily C member 4"	Transporters	Channels;Voltage_gated_ion_channels;Potassium_channels	Valid	7	0	o227-245i280-301o313-331i343-361o381-402i423-440o452-481i	5	225-247,279-301,309-331,372-394,456-478	3	o380-402i423-440o450-472i
IPI00007507	"KCND1 Potassium voltage-gated channel subfamily D member 1"	Transporters	Channels;Voltage_gated_ion_channels;Potassium_channels	Valid	6	Y	n2-9c14/15o187-205i259-281o287-305i326-347o359-375i387-408o	6	171-193,215-237,245-267,309-331,342-364,374-396	5	o169-191i245-267o312-334i347-369o373-395i
IPI00383327	"KCND3 Isoform 1 of Potassium voltage-gated channel subfamily D member 3"	Transporters	Channels;Voltage_gated_ion_channels;Potassium_channels	Valid	7	0	i181-202o222-243i255-276o282-300i321-342o354-370i382-403o	7	6-28,182-204,224-246,254-276,318-340,350-372,383-405	6	o180-202i222-244o254-276i322-341o351-370i382-404o
IPI00100431	"KCNF1 Potassium voltage-gated channel subfamily F member 1"	Transporters	Channels;Voltage_gated_ion_channels;Potassium_channels	Valid	5	0	i183-204o248-270i324-341o361-378i385-406o	4	181-203,251-273,320-342,383-405	4	i183-205o248-270i324-346o387-409i
IPI00032434	"KCNG1 Isoform 1 of Potassium voltage-gated channel subfamily G member 1"	Transporters	Channels;Voltage_gated_ion_channels;Potassium_channels	Valid	7	0	i228-249o269-288i300-318o338-357i377-398o410-427i439-460o	7	226-248,265-287,300-322,335-357,373-395,407-429,438-460	4	o295-317i379-398o408-427i439-461o
IPI00786999	"KCNG2 similar to Potassium voltage-gated channel subfamily G member 2"	Transporters	Channels;Voltage_gated_ion_channels;Potassium_channels	Valid	6	0	o233-250i271-288o300-317i337-355o375-392i399-423o	5	181-203,231-253,266-288,333-355,398-420	3	o266-288i337-359o399-421i
IPI00152048	"KCNG3 Isoform 1 of Potassium voltage-gated channel subfamily G member 3"	Transporters	Channels;Voltage_gated_ion_channels;Potassium_channels	Valid	7	0	i168-193o222-242i254-276o296-316i323-344o356-376i388-412o	6	169-191,221-243,253-275,322-344,356-376,392-414	7	i166-188o221-243i256-274o294-316i323-342o357-376i388-410o
